,MLII,V1
0 days 00:05:00.430590,-264,-199
0 days 00:05:00.433368,-275,-196
0 days 00:05:00.436146,-271,-192
0 days 00:05:00.438924,-253,-195
0 days 00:05:00.441702,-240,-198
0 days 00:05:00.444480,-233,-208
0 days 00:05:00.447258,-235,-212
0 days 00:05:00.450036,-244,-210
0 days 00:05:00.452814,-253,-201
0 days 00:05:00.455592,-256,-198
0 days 00:05:00.458370,-258,-198
0 days 00:05:00.461148,-252,-200
0 days 00:05:00.463926,-241,-208
0 days 00:05:00.466704,-243,-212
0 days 00:05:00.469482,-241,-213
0 days 00:05:00.472260,-241,-204
0 days 00:05:00.475038,-237,-190
0 days 00:05:00.477816,-237,-181
0 days 00:05:00.480594,-233,-174
0 days 00:05:00.483372,-225,-172
0 days 00:05:00.486150,-215,-176
0 days 00:05:00.488928,-202,-185
0 days 00:05:00.491706,-194,-187
0 days 00:05:00.494484,-196,-189
0 days 00:05:00.497262,-200,-188
0 days 00:05:00.500040,-208,-181
0 days 00:05:00.502818,-209,-175
0 days 00:05:00.505596,-202,-169
0 days 00:05:00.508374,-195,-164
0 days 00:05:00.511152,-194,-162
0 days 00:05:00.513930,-189,-154
0 days 00:05:00.516708,-190,-149
0 days 00:05:00.519486,-189,-143
0 days 00:05:00.522264,-182,-141
0 days 00:05:00.525042,-178,-137
0 days 00:05:00.527820,-177,-139
0 days 00:05:00.530598,-184,-144
0 days 00:05:00.533376,-187,-147
0 days 00:05:00.536154,-180,-147
0 days 00:05:00.538932,-172,-146
0 days 00:05:00.541710,-166,-144
0 days 00:05:00.544488,-166,-138
0 days 00:05:00.547266,-171,-137
0 days 00:05:00.550044,-180,-129
0 days 00:05:00.552822,-187,-129
0 days 00:05:00.555600,-188,-128
0 days 00:05:00.558378,-189,-130
0 days 00:05:00.561156,-187,-130
0 days 00:05:00.563934,-183,-130
0 days 00:05:00.566712,-174,-131
0 days 00:05:00.569490,-166,-130
0 days 00:05:00.572268,-163,-134
0 days 00:05:00.575046,-165,-133
0 days 00:05:00.577824,-170,-131
0 days 00:05:00.580602,-173,-130
0 days 00:05:00.583380,-174,-128
0 days 00:05:00.586158,-174,-127
0 days 00:05:00.588936,-171,-124
0 days 00:05:00.591714,-168,-123
0 days 00:05:00.594492,-171,-121
0 days 00:05:00.597270,-181,-120
0 days 00:05:00.600048,-192,-119
0 days 00:05:00.602826,-195,-117
0 days 00:05:00.605604,-190,-123
0 days 00:05:00.608382,-180,-122
0 days 00:05:00.611160,-173,-126
0 days 00:05:00.613938,-175,-125
0 days 00:05:00.616716,-184,-132
0 days 00:05:00.619494,-186,-131
0 days 00:05:00.622272,-190,-132
0 days 00:05:00.625050,-187,-130
0 days 00:05:00.627828,-190,-136
0 days 00:05:00.630606,-198,-138
0 days 00:05:00.633384,-200,-136
0 days 00:05:00.636162,-197,-138
0 days 00:05:00.638940,-191,-137
0 days 00:05:00.641718,-184,-136
0 days 00:05:00.644496,-180,-134
0 days 00:05:00.647274,-175,-133
0 days 00:05:00.650052,-173,-129
0 days 00:05:00.652830,-176,-130
0 days 00:05:00.655608,-179,-129
0 days 00:05:00.658386,-179,-133
0 days 00:05:00.661164,-180,-135
0 days 00:05:00.663942,-186,-133
0 days 00:05:00.666720,-190,-134
0 days 00:05:00.669498,-196,-131
0 days 00:05:00.672276,-189,-127
0 days 00:05:00.675054,-179,-124
0 days 00:05:00.677832,-174,-119
0 days 00:05:00.680610,-174,-119
0 days 00:05:00.683388,-183,-126
0 days 00:05:00.686166,-189,-127
0 days 00:05:00.688944,-191,-132
0 days 00:05:00.691722,-188,-131
0 days 00:05:00.694500,-181,-132
0 days 00:05:00.697278,-181,-129
0 days 00:05:00.700056,-187,-128
0 days 00:05:00.702834,-192,-129
0 days 00:05:00.705612,-191,-132
0 days 00:05:00.708390,-188,-133
0 days 00:05:00.711168,-177,-135
0 days 00:05:00.713946,-175,-134
0 days 00:05:00.716724,-168,-128
0 days 00:05:00.719502,-169,-124
0 days 00:05:00.722280,-170,-121
0 days 00:05:00.725058,-176,-115
0 days 00:05:00.727836,-184,-112
0 days 00:05:00.730614,-185,-108
0 days 00:05:00.733392,-179,-113
0 days 00:05:00.736170,-171,-118
0 days 00:05:00.738948,-167,-123
0 days 00:05:00.741726,-171,-122
0 days 00:05:00.744504,-172,-122
0 days 00:05:00.747282,-172,-122
0 days 00:05:00.750060,-171,-118
0 days 00:05:00.752838,-173,-119
0 days 00:05:00.755616,-180,-119
0 days 00:05:00.758394,-181,-118
0 days 00:05:00.761172,-180,-119
0 days 00:05:00.763950,-174,-126
0 days 00:05:00.766728,-170,-134
0 days 00:05:00.769506,-166,-145
0 days 00:05:00.772284,-170,-146
0 days 00:05:00.775062,-179,-146
0 days 00:05:00.777840,-184,-137
0 days 00:05:00.780618,-189,-129
0 days 00:05:00.783396,-186,-123
0 days 00:05:00.786174,-182,-121
0 days 00:05:00.788952,-175,-121
0 days 00:05:00.791730,-173,-125
0 days 00:05:00.794508,-174,-124
0 days 00:05:00.797286,-171,-122
0 days 00:05:00.800064,-171,-125
0 days 00:05:00.802842,-172,-127
0 days 00:05:00.805620,-171,-125
0 days 00:05:00.808398,-167,-120
0 days 00:05:00.811176,-164,-118
0 days 00:05:00.813954,-158,-118
0 days 00:05:00.816732,-155,-120
0 days 00:05:00.819510,-151,-126
0 days 00:05:00.822288,-151,-133
0 days 00:05:00.825066,-147,-140
0 days 00:05:00.827844,-144,-139
0 days 00:05:00.830622,-144,-142
0 days 00:05:00.833400,-142,-137
0 days 00:05:00.836178,-142,-127
0 days 00:05:00.838956,-140,-117
0 days 00:05:00.841734,-141,-107
0 days 00:05:00.844512,-144,-105
0 days 00:05:00.847290,-150,-107
0 days 00:05:00.850068,-154,-105
0 days 00:05:00.852846,-161,-114
0 days 00:05:00.855624,-163,-115
0 days 00:05:00.858402,-157,-122
0 days 00:05:00.861180,-143,-118
0 days 00:05:00.863958,-134,-117
0 days 00:05:00.866736,-126,-113
0 days 00:05:00.869514,-131,-109
0 days 00:05:00.872292,-137,-97
0 days 00:05:00.875070,-144,-89
0 days 00:05:00.877848,-143,-82
0 days 00:05:00.880626,-140,-77
0 days 00:05:00.883404,-149,-80
0 days 00:05:00.886182,-164,-87
0 days 00:05:00.888960,-179,-94
0 days 00:05:00.891738,-185,-98
0 days 00:05:00.894516,-182,-102
0 days 00:05:00.897294,-177,-109
0 days 00:05:00.900072,-173,-113
0 days 00:05:00.902850,-167,-118
0 days 00:05:00.905628,-169,-121
0 days 00:05:00.908406,-176,-122
0 days 00:05:00.911184,-179,-123
0 days 00:05:00.913962,-181,-122
0 days 00:05:00.916740,-185,-121
0 days 00:05:00.919518,-187,-119
0 days 00:05:00.922296,-193,-116
0 days 00:05:00.925074,-195,-115
0 days 00:05:00.927852,-196,-118
0 days 00:05:00.930630,-197,-121
0 days 00:05:00.933408,-198,-128
0 days 00:05:00.936186,-193,-133
0 days 00:05:00.938964,-187,-129
0 days 00:05:00.941742,-181,-131
0 days 00:05:00.944520,-179,-127
0 days 00:05:00.947298,-185,-124
0 days 00:05:00.950076,-192,-124
0 days 00:05:00.952854,-198,-124
0 days 00:05:00.955632,-206,-122
0 days 00:05:00.958410,-205,-124
0 days 00:05:00.961188,-200,-128
0 days 00:05:00.963966,-195,-131
0 days 00:05:00.966744,-195,-133
0 days 00:05:00.969522,-199,-135
0 days 00:05:00.972300,-200,-131
0 days 00:05:00.975078,-195,-124
0 days 00:05:00.977856,-187,-119
0 days 00:05:00.980634,-188,-115
0 days 00:05:00.983412,-185,-117
0 days 00:05:00.986190,-191,-123
0 days 00:05:00.988968,-198,-125
0 days 00:05:00.991746,-202,-127
0 days 00:05:00.994524,-203,-130
0 days 00:05:00.997302,-201,-135
0 days 00:05:01.000080,-205,-144
0 days 00:05:01.002858,-207,-160
0 days 00:05:01.005636,-203,-180
0 days 00:05:01.008414,-183,-205
0 days 00:05:01.011192,-153,-237
0 days 00:05:01.013970,-122,-274
0 days 00:05:01.016748,-91,-310
0 days 00:05:01.019526,-70,-341
0 days 00:05:01.022304,-65,-354
0 days 00:05:01.025082,-71,-344
0 days 00:05:01.027860,-80,-314
0 days 00:05:01.030638,-74,-274
0 days 00:05:01.033416,-46,-231
0 days 00:05:01.036194,-1,-194
0 days 00:05:01.038972,49,-151
0 days 00:05:01.041750,84,-101
0 days 00:05:01.044528,87,-40
0 days 00:05:01.047306,52,18
0 days 00:05:01.050084,-20,65
0 days 00:05:01.052862,-107,87
0 days 00:05:01.055640,-195,84
0 days 00:05:01.058418,-267,57
0 days 00:05:01.061196,-321,10
0 days 00:05:01.063974,-354,-33
0 days 00:05:01.066752,-373,-66
0 days 00:05:01.069530,-380,-82
0 days 00:05:01.072308,-386,-98
0 days 00:05:01.075086,-389,-105
0 days 00:05:01.077864,-397,-118
0 days 00:05:01.080642,-409,-131
0 days 00:05:01.083420,-417,-145
0 days 00:05:01.086198,-424,-153
0 days 00:05:01.088976,-422,-160
0 days 00:05:01.091754,-417,-159
0 days 00:05:01.094532,-418,-155
0 days 00:05:01.097310,-417,-152
0 days 00:05:01.100088,-413,-154
0 days 00:05:01.102866,-404,-153
0 days 00:05:01.105644,-394,-157
0 days 00:05:01.108422,-381,-156
0 days 00:05:01.111200,-366,-153
0 days 00:05:01.113978,-351,-153
0 days 00:05:01.116756,-332,-144
0 days 00:05:01.119534,-306,-134
0 days 00:05:01.122312,-280,-126
0 days 00:05:01.125090,-257,-119
0 days 00:05:01.127868,-237,-115
0 days 00:05:01.130646,-224,-112
0 days 00:05:01.133424,-222,-117
0 days 00:05:01.136202,-223,-117
0 days 00:05:01.138980,-226,-119
0 days 00:05:01.141758,-230,-107
0 days 00:05:01.144536,-225,-101
0 days 00:05:01.147314,-221,-93
0 days 00:05:01.150092,-212,-86
0 days 00:05:01.152870,-203,-84
0 days 00:05:01.155648,-202,-89
0 days 00:05:01.158426,-198,-97
0 days 00:05:01.161204,-194,-106
0 days 00:05:01.163982,-196,-105
0 days 00:05:01.166760,-208,-108
0 days 00:05:01.169538,-225,-108
0 days 00:05:01.172316,-236,-106
0 days 00:05:01.175094,-240,-100
0 days 00:05:01.177872,-229,-97
0 days 00:05:01.180650,-217,-98
0 days 00:05:01.183428,-205,-101
0 days 00:05:01.186206,-199,-106
0 days 00:05:01.188984,-191,-116
0 days 00:05:01.191762,-191,-120
0 days 00:05:01.194540,-195,-128
0 days 00:05:01.197318,-201,-130
0 days 00:05:01.200096,-216,-131
0 days 00:05:01.202874,-230,-129
0 days 00:05:01.205652,-237,-129
0 days 00:05:01.208430,-235,-133
0 days 00:05:01.211208,-232,-134
0 days 00:05:01.213986,-229,-137
0 days 00:05:01.216764,-231,-144
0 days 00:05:01.219542,-231,-148
0 days 00:05:01.222320,-232,-151
0 days 00:05:01.225098,-232,-155
0 days 00:05:01.227876,-241,-159
0 days 00:05:01.230654,-248,-162
0 days 00:05:01.233432,-257,-163
0 days 00:05:01.236210,-261,-165
0 days 00:05:01.238988,-261,-165
0 days 00:05:01.241766,-259,-161
0 days 00:05:01.244544,-254,-163
0 days 00:05:01.247322,-248,-163
0 days 00:05:01.250100,-244,-168
0 days 00:05:01.252878,-240,-172
0 days 00:05:01.255656,-239,-177
0 days 00:05:01.258434,-245,-175
0 days 00:05:01.261212,-253,-177
0 days 00:05:01.263990,-257,-174
0 days 00:05:01.266768,-264,-172
0 days 00:05:01.269546,-268,-176
0 days 00:05:01.272324,-272,-179
0 days 00:05:01.275102,-272,-182
0 days 00:05:01.277880,-271,-185
0 days 00:05:01.280658,-261,-188
0 days 00:05:01.283436,-248,-188
0 days 00:05:01.286214,-242,-193
0 days 00:05:01.288992,-242,-188
0 days 00:05:01.291770,-240,-194
0 days 00:05:01.294548,-246,-195
0 days 00:05:01.297326,-253,-196
0 days 00:05:01.300104,-258,-197
0 days 00:05:01.302882,-263,-198
0 days 00:05:01.305660,-267,-197
0 days 00:05:01.308438,-264,-193
0 days 00:05:01.311216,-262,-189
0 days 00:05:01.313994,-255,-182
0 days 00:05:01.316772,-249,-176
0 days 00:05:01.319550,-240,-175
0 days 00:05:01.322328,-234,-174
0 days 00:05:01.325106,-233,-172
0 days 00:05:01.327884,-225,-173
0 days 00:05:01.330662,-225,-173
0 days 00:05:01.333440,-219,-174
0 days 00:05:01.336218,-213,-170
0 days 00:05:01.338996,-211,-163
0 days 00:05:01.341774,-207,-154
0 days 00:05:01.344552,-204,-153
0 days 00:05:01.347330,-203,-146
0 days 00:05:01.350108,-213,-139
0 days 00:05:01.352886,-226,-140
0 days 00:05:01.355664,-232,-136
0 days 00:05:01.358442,-214,-137
0 days 00:05:01.361220,-195,-136
0 days 00:05:01.363998,-177,-144
0 days 00:05:01.366776,-168,-146
0 days 00:05:01.369554,-169,-149
0 days 00:05:01.372332,-173,-144
0 days 00:05:01.375110,-184,-135
0 days 00:05:01.377888,-189,-124
0 days 00:05:01.380666,-190,-118
0 days 00:05:01.383444,-187,-113
0 days 00:05:01.386222,-187,-114
0 days 00:05:01.389000,-191,-119
0 days 00:05:01.391778,-194,-120
0 days 00:05:01.394556,-193,-121
0 days 00:05:01.397334,-190,-125
0 days 00:05:01.400112,-186,-123
0 days 00:05:01.402890,-187,-122
0 days 00:05:01.405668,-188,-117
0 days 00:05:01.408446,-193,-113
0 days 00:05:01.411224,-189,-108
0 days 00:05:01.414002,-193,-107
0 days 00:05:01.416780,-194,-106
0 days 00:05:01.419558,-195,-104
0 days 00:05:01.422336,-192,-102
0 days 00:05:01.425114,-198,-102
0 days 00:05:01.427892,-206,-99
0 days 00:05:01.430670,-216,-99
0 days 00:05:01.433448,-206,-97
0 days 00:05:01.436226,-190,-101
0 days 00:05:01.439004,-173,-102
0 days 00:05:01.441782,-163,-110
0 days 00:05:01.444560,-163,-115
0 days 00:05:01.447338,-167,-116
0 days 00:05:01.450116,-180,-110
0 days 00:05:01.452894,-192,-105
0 days 00:05:01.455672,-203,-102
0 days 00:05:01.458450,-208,-97
0 days 00:05:01.461228,-211,-99
0 days 00:05:01.464006,-204,-107
0 days 00:05:01.466784,-201,-109
0 days 00:05:01.469562,-199,-113
0 days 00:05:01.472340,-201,-111
0 days 00:05:01.475118,-204,-103
0 days 00:05:01.477896,-209,-100
0 days 00:05:01.480674,-207,-101
0 days 00:05:01.483452,-202,-101
0 days 00:05:01.486230,-190,-105
0 days 00:05:01.489008,-185,-108
0 days 00:05:01.491786,-183,-111
0 days 00:05:01.494564,-185,-108
0 days 00:05:01.497342,-190,-105
0 days 00:05:01.500120,-194,-103
0 days 00:05:01.502898,-203,-97
0 days 00:05:01.505676,-205,-97
0 days 00:05:01.508454,-199,-98
0 days 00:05:01.511232,-190,-103
0 days 00:05:01.514010,-181,-102
0 days 00:05:01.516788,-179,-103
0 days 00:05:01.519566,-185,-104
0 days 00:05:01.522344,-188,-107
0 days 00:05:01.525122,-191,-105
0 days 00:05:01.527900,-194,-103
0 days 00:05:01.530678,-195,-102
0 days 00:05:01.533456,-198,-103
0 days 00:05:01.536234,-201,-103
0 days 00:05:01.539012,-205,-100
0 days 00:05:01.541790,-209,-99
0 days 00:05:01.544568,-205,-98
0 days 00:05:01.547346,-198,-101
0 days 00:05:01.550124,-192,-101
0 days 00:05:01.552902,-189,-102
0 days 00:05:01.555680,-183,-103
0 days 00:05:01.558458,-183,-104
0 days 00:05:01.561236,-181,-99
0 days 00:05:01.564014,-182,-93
0 days 00:05:01.566792,-183,-94
0 days 00:05:01.569570,-188,-94
0 days 00:05:01.572348,-187,-91
0 days 00:05:01.575126,-187,-89
0 days 00:05:01.577904,-194,-89
0 days 00:05:01.580682,-197,-95
0 days 00:05:01.583460,-197,-95
0 days 00:05:01.586238,-190,-100
0 days 00:05:01.589016,-180,-101
0 days 00:05:01.591794,-167,-103
0 days 00:05:01.594572,-156,-101
0 days 00:05:01.597350,-155,-104
0 days 00:05:01.600128,-159,-101
0 days 00:05:01.602906,-170,-102
0 days 00:05:01.605684,-182,-97
0 days 00:05:01.608462,-191,-90
0 days 00:05:01.611240,-193,-92
0 days 00:05:01.614018,-189,-87
0 days 00:05:01.616796,-187,-88
0 days 00:05:01.619574,-182,-89
0 days 00:05:01.622352,-183,-93
0 days 00:05:01.625130,-185,-94
0 days 00:05:01.627908,-190,-94
0 days 00:05:01.630686,-191,-91
0 days 00:05:01.633464,-189,-90
0 days 00:05:01.636242,-187,-91
0 days 00:05:01.639020,-180,-91
0 days 00:05:01.641798,-180,-91
0 days 00:05:01.644576,-171,-91
0 days 00:05:01.647354,-167,-91
0 days 00:05:01.650132,-170,-91
0 days 00:05:01.652910,-174,-94
0 days 00:05:01.655688,-173,-91
0 days 00:05:01.658466,-170,-94
0 days 00:05:01.661244,-160,-99
0 days 00:05:01.664022,-159,-105
0 days 00:05:01.666800,-158,-106
0 days 00:05:01.669578,-153,-107
0 days 00:05:01.672356,-149,-110
0 days 00:05:01.675134,-149,-107
0 days 00:05:01.677912,-149,-100
0 days 00:05:01.680690,-152,-97
0 days 00:05:01.683468,-152,-95
0 days 00:05:01.686246,-146,-88
0 days 00:05:01.689024,-143,-89
0 days 00:05:01.691802,-143,-84
0 days 00:05:01.694580,-148,-83
0 days 00:05:01.697358,-152,-82
0 days 00:05:01.700136,-161,-85
0 days 00:05:01.702914,-168,-88
0 days 00:05:01.705692,-175,-90
0 days 00:05:01.708470,-171,-88
0 days 00:05:01.711248,-164,-88
0 days 00:05:01.714026,-150,-84
0 days 00:05:01.716804,-140,-79
0 days 00:05:01.719582,-132,-75
0 days 00:05:01.722360,-125,-70
0 days 00:05:01.725138,-128,-66
0 days 00:05:01.727916,-139,-65
0 days 00:05:01.730694,-155,-61
0 days 00:05:01.733472,-182,-59
0 days 00:05:01.736250,-192,-65
0 days 00:05:01.739028,-192,-68
0 days 00:05:01.741806,-186,-80
0 days 00:05:01.744584,-179,-88
0 days 00:05:01.747362,-171,-91
0 days 00:05:01.750140,-172,-91
0 days 00:05:01.752918,-174,-90
0 days 00:05:01.755696,-179,-85
0 days 00:05:01.758474,-178,-82
0 days 00:05:01.761252,-183,-83
0 days 00:05:01.764030,-193,-80
0 days 00:05:01.766808,-206,-84
0 days 00:05:01.769586,-217,-85
0 days 00:05:01.772364,-214,-88
0 days 00:05:01.775142,-210,-87
0 days 00:05:01.777920,-206,-88
0 days 00:05:01.780698,-201,-91
0 days 00:05:01.783476,-196,-87
0 days 00:05:01.786254,-193,-86
0 days 00:05:01.789032,-191,-85
0 days 00:05:01.791810,-190,-84
0 days 00:05:01.794588,-188,-90
0 days 00:05:01.797366,-184,-90
0 days 00:05:01.800144,-174,-95
0 days 00:05:01.802922,-169,-96
0 days 00:05:01.805700,-172,-94
0 days 00:05:01.808478,-174,-89
0 days 00:05:01.811256,-179,-87
0 days 00:05:01.814034,-180,-84
0 days 00:05:01.816812,-181,-86
0 days 00:05:01.819590,-180,-89
0 days 00:05:01.822368,-188,-100
0 days 00:05:01.825146,-187,-105
0 days 00:05:01.827924,-185,-110
0 days 00:05:01.830702,-187,-113
0 days 00:05:01.833480,-187,-113
0 days 00:05:01.836258,-195,-108
0 days 00:05:01.839036,-203,-106
0 days 00:05:01.841814,-206,-104
0 days 00:05:01.844592,-210,-113
0 days 00:05:01.847370,-210,-120
0 days 00:05:01.850148,-203,-137
0 days 00:05:01.852926,-188,-156
0 days 00:05:01.855704,-168,-177
0 days 00:05:01.858482,-145,-200
0 days 00:05:01.861260,-119,-224
0 days 00:05:01.864038,-92,-243
0 days 00:05:01.866816,-64,-264
0 days 00:05:01.869594,-44,-272
0 days 00:05:01.872372,-37,-268
0 days 00:05:01.875150,-38,-250
0 days 00:05:01.877928,-43,-226
0 days 00:05:01.880706,-38,-198
0 days 00:05:01.883484,-28,-167
0 days 00:05:01.886262,2,-141
0 days 00:05:01.889040,35,-105
0 days 00:05:01.891818,58,-56
0 days 00:05:01.894596,59,8
0 days 00:05:01.897374,27,74
0 days 00:05:01.900152,-35,125
0 days 00:05:01.902930,-121,148
0 days 00:05:01.905708,-207,142
0 days 00:05:01.908486,-283,104
0 days 00:05:01.911264,-334,51
0 days 00:05:01.914042,-369,-6
0 days 00:05:01.916820,-388,-47
0 days 00:05:01.919598,-397,-75
0 days 00:05:01.922376,-403,-87
0 days 00:05:01.925154,-404,-96
0 days 00:05:01.927932,-402,-104
0 days 00:05:01.930710,-404,-111
0 days 00:05:01.933488,-410,-118
0 days 00:05:01.936266,-418,-126
0 days 00:05:01.939044,-423,-128
0 days 00:05:01.941822,-427,-127
0 days 00:05:01.944600,-429,-123
0 days 00:05:01.947378,-430,-117
0 days 00:05:01.950156,-426,-116
0 days 00:05:01.952934,-419,-116
0 days 00:05:01.955712,-398,-120
0 days 00:05:01.958490,-375,-130
0 days 00:05:01.961268,-352,-132
0 days 00:05:01.964046,-324,-133
0 days 00:05:01.966824,-293,-129
0 days 00:05:01.969602,-271,-116
0 days 00:05:01.972380,-247,-99
0 days 00:05:01.975158,-235,-86
0 days 00:05:01.977936,-227,-73
0 days 00:05:01.980714,-228,-66
0 days 00:05:01.983492,-225,-67
0 days 00:05:01.986270,-223,-70
0 days 00:05:01.989048,-218,-79
0 days 00:05:01.991826,-211,-87
0 days 00:05:01.994604,-208,-89
0 days 00:05:01.997382,-205,-84
0 days 00:05:02.000160,-214,-74
0 days 00:05:02.002938,-225,-60
0 days 00:05:02.005716,-232,-53
0 days 00:05:02.008494,-224,-52
0 days 00:05:02.011272,-214,-57
0 days 00:05:02.014050,-206,-68
0 days 00:05:02.016828,-206,-79
0 days 00:05:02.019606,-205,-87
0 days 00:05:02.022384,-210,-90
0 days 00:05:02.025162,-215,-92
0 days 00:05:02.027940,-219,-92
0 days 00:05:02.030718,-222,-94
0 days 00:05:02.033496,-225,-92
0 days 00:05:02.036274,-223,-96
0 days 00:05:02.039052,-224,-94
0 days 00:05:02.041830,-223,-97
0 days 00:05:02.044608,-225,-93
